id,domain,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation,service
D1-012,1,easy,"Quel service AWS extrait automatiquement texte, tableaux et données de formulaires à partir de documents scannés ?","Amazon Comprehend","Amazon Translate","Amazon Textract","Amazon Rekognition",C,"Textract va au-delà de l'OCR classique en comprenant la structure (tableaux, formulaires clé-valeur, signatures).",Amazon Textract
D1-013,1,easy,"Quel service AWS convertit du texte en parole naturelle (TTS) avec des voix neuronales ?","Amazon Transcribe","Amazon Polly","Amazon Lex","Amazon Comprehend",B,"Polly fait du Text-to-Speech avec des voix neuronales de qualité. Transcribe fait l'inverse (Speech-to-Text).",Amazon Polly
D1-014,1,easy,"Quel service AWS convertit l'audio en texte (STT), notamment pour transcrire des appels téléphoniques ?","Amazon Transcribe","Amazon Polly","Amazon Translate","Amazon Connect",A,"Transcribe (Speech-to-Text) inclut des fonctionnalités call center (diarisation, détection PII, vocabulaire custom).",Amazon Transcribe
D1-015,1,easy,"Quel service AWS traduit automatiquement du texte entre plusieurs langues via Neural Machine Translation ?","Amazon Polly","Amazon Lex","Amazon Comprehend","Amazon Translate",D,"Translate utilise du NMT pour traduire entre plusieurs dizaines de langues, en temps réel ou en batch.",Amazon Translate
D1-016,1,easy,"Pour construire un chatbot conversationnel avec reconnaissance vocale et compréhension d'intention :","Amazon Polly seul","Amazon Connect","Amazon Lex","Amazon Translate",C,"Amazon Lex est le service de construction de chatbots et assistants vocaux d'AWS (le moteur derrière Alexa).",Amazon Lex
D1-017,1,medium,"Une plateforme e-commerce veut des recommandations personnalisées en temps réel pour chaque visiteur, similaires à amazon.com.","Amazon Comprehend","Amazon Personalize","Amazon Kendra","Amazon Forecast",B,"Personalize fournit des recommandations personnalisées en temps réel via des recipes ML pré-construites (User-Personalization, Personalized-Ranking, etc.).",Amazon Personalize
D1-018,1,medium,"Pour une recherche intelligente sémantique sur le contenu interne d'une entreprise (Wiki, SharePoint, fichiers) :","Amazon Kendra","Amazon CloudSearch","AWS Glue","Amazon Polly",A,"Amazon Kendra est un service de search ML qui comprend le langage naturel, avec des connecteurs pour les sources d'entreprise.",Amazon Kendra
D1-019,1,medium,"Quel service AWS détecte la fraude en ligne (paiements, création de comptes) avec des modèles ML pré-entraînés ?","Amazon GuardDuty","Amazon Macie","Amazon Inspector","Amazon Fraud Detector",D,"Fraud Detector cible spécifiquement la fraude métier (paiements, fake accounts) avec des modèles AWS éprouvés sur le commerce.",Amazon Fraud Detector
D1-020,1,easy,"Quel service AWS est une plateforme managée end-to-end pour construire, entraîner et déployer des modèles ML personnalisés ?","Amazon Bedrock","AWS Glue","Amazon SageMaker","Amazon EMR",C,"SageMaker couvre tout le cycle de vie ML : préparation, entraînement, tuning, déploiement, monitoring.",Amazon SageMaker
D1-021,1,medium,"Quelle est la différence principale entre Amazon SageMaker et Amazon Bedrock ?","Bedrock est l'ancienne version de SageMaker","SageMaker sert à construire et entraîner des modèles ML personnalisés tandis que Bedrock donne accès à des foundation models pré-entraînés via API","Ce sont deux noms du même service","SageMaker est uniquement pour l'image, Bedrock pour le texte",B,"SageMaker = ML custom (training, infra, modèles). Bedrock = accès managé aux foundation models via API serverless.",Amazon SageMaker et Bedrock
D1-022,1,easy,"Quel IDE web intégré SageMaker permet de gérer notebooks, expériences, modèles, jobs et endpoints en une interface ?","Amazon SageMaker Studio","AWS Cloud9","AWS CodeCommit","Amazon Athena",A,"SageMaker Studio est l'IDE unifié pour la data science et le ML sur AWS, avec JupyterLab intégré.",Amazon SageMaker Studio
D1-023,1,medium,"Pourquoi divise-t-on un jeu de données en sets d'entraînement, validation et test ?","Pour réduire le temps de calcul","Pour augmenter mécaniquement la précision","Pour réduire la taille du modèle","Pour évaluer la capacité du modèle à généraliser sur des données non vues et tuner les hyperparamètres",D,"Le set de test (jamais vu) donne une estimation honnête de la performance en production. Le set de validation sert au tuning.",Amazon SageMaker
D1-024,1,medium,"Un modèle obtient 99% sur l'entraînement et 60% sur le test. De quoi s'agit-il ?","Underfitting","Data leak","Overfitting (surapprentissage)","Convergence parfaite",C,"L'overfitting : le modèle mémorise les détails du training set, mais ne généralise pas. Remèdes : régularisation, plus de données, modèle plus simple.",Amazon SageMaker
D1-025,1,medium,"Un modèle obtient 55% à la fois sur l'entraînement et le test.","Overfitting","Underfitting (sous-apprentissage)","Convergence optimale","Data drift en production",B,"L'underfitting : le modèle est trop simple, n'apprend pas les patterns. Remèdes : modèle plus complexe, plus de features, plus d'entraînement.",Amazon SageMaker
D1-026,1,medium,"Augmenter la complexité d'un modèle a tendance à :","Diminuer le biais mais augmenter la variance","Diminuer biais et variance","Augmenter biais et variance","Augmenter le biais et diminuer la variance",A,"Trade-off biais-variance : modèle plus complexe → moins de biais (sous-apprentissage) mais plus de variance (sur-apprentissage).",Amazon SageMaker
D1-027,1,medium,"La validation croisée k-fold sert principalement à :","Accélérer l'entraînement","Compresser le modèle","Augmenter automatiquement le dataset","Obtenir une estimation plus fiable de la performance en variant les splits train/validation",D,"K-fold CV utilise k partitions différentes pour entraîner/valider, et moyenne les résultats. Plus robuste qu'un seul split.",Amazon SageMaker
D1-028,1,medium,"SageMaker Automatic Model Tuning sert à :","Étiqueter les données","Déployer un modèle","Rechercher la meilleure combinaison d'hyperparamètres (Bayes, Grid, Random, Hyperband)","Sauvegarder le code source",C,"L'AMT explore l'espace des hyperparamètres (learning rate, profondeur, etc.) pour optimiser une métrique cible.",Amazon SageMaker
D1-029,1,medium,"Pour un modèle de détection de cancer où il est crucial de ne manquer aucun cas positif, quelle métrique privilégier ?","Precision","Recall (rappel)","Specificity","Latency",B,"Recall = TP/(TP+FN) : maximiser le recall minimise les faux négatifs (cas réels non détectés), critique en médecine.",Amazon SageMaker
D1-030,1,medium,"Pour un filtre anti-spam où marquer un email légitime comme spam est très coûteux (faux positif), quelle métrique privilégier ?","Precision (précision)","Recall","F1-score","RMSE",A,"Precision = TP/(TP+FP) : maximiser la precision minimise les faux positifs (emails légitimes étiquetés spam).",Amazon SageMaker
D1-031,1,medium,"À quoi sert principalement le F1-score ?","Mesurer la latence d'inférence","Évaluer une régression","Visualiser le dataset","Combiner precision et recall en une seule métrique (moyenne harmonique)",D,"F1 = 2·P·R/(P+R). Utile quand on veut un équilibre entre precision et recall, surtout en dataset déséquilibré.",Amazon SageMaker
D1-032,1,medium,"Que représente une matrice de confusion ?","Tableau des erreurs de compilation","Visualisation des poids du modèle","Tableau croisant prédictions vs réalité pour visualiser TP, FP, FN, TN","Représentation de la complexité algorithmique",C,"La confusion matrix est la base pour calculer accuracy, precision, recall, F1 pour les problèmes de classification.",Amazon SageMaker
D1-033,1,medium,"La courbe ROC et l'AUC servent à :","Évaluer un dataset","Évaluer un classifieur binaire à différents seuils, AUC mesurant l'aire sous la courbe","Mesurer la latence","Déterminer le coût d'entraînement",B,"AUC-ROC : 0.5 = aléatoire, 1.0 = parfait. Indépendant du seuil, robuste au déséquilibre des classes.",Amazon SageMaker
D1-034,1,medium,"La métrique RMSE (Root Mean Square Error) sert à :","Évaluer une régression (erreur quadratique moyenne entre prédiction et valeur réelle)","Évaluer une classification","Faire du clustering","Mesurer une distance entre embeddings",A,"RMSE = √(MSE) : mesure typique de performance pour la régression. Plus elle est faible, mieux c'est.",Amazon SageMaker
D1-035,1,medium,"Pour servir des prédictions ML à très faible latence (ms) en temps réel via API HTTPS, quel mode SageMaker ?","Batch Transform","Async inference (polling)","Notebook seul","Real-time inference endpoint",D,"Le real-time endpoint expose le modèle via une API persistante avec autoscaling, idéal pour le temps réel.",Amazon SageMaker
D1-036,1,medium,"Pour générer des prédictions sur un gros fichier de données en différé, sans contrainte de latence, mode économique ?","Real-time endpoint 24/7","Serverless inference seul","Batch Transform","Edge inference",C,"Batch Transform lit S3, génère les prédictions, écrit en S3. Pas d'endpoint persistant : pas de coût quand inactif.",Amazon SageMaker
D1-037,1,medium,"SageMaker Serverless Inference est pertinent quand :","Le modèle dépasse 100 GB","Le trafic est intermittent ou imprévisible, sans gestion d'instances","Le trafic est constant et très élevé","On a besoin de GPU multi-nœuds",B,"Serverless Inference auto-scale et facture à l'usage : idéal pour le trafic intermittent. Cold starts à anticiper.",Amazon SageMaker
D1-038,1,medium,"Le feature engineering consiste à :","Sélectionner, transformer et créer les variables d'entrée du modèle pour améliorer ses performances","Coder le modèle en C++","Compresser le modèle final","Faire du réseau avec d'autres data scientists",A,"Feature engineering : nettoyage, encoding (one-hot, target), scaling, dérivations, agrégations. Souvent le facteur clé de succès d'un modèle.",Amazon SageMaker
D1-039,1,medium,"SageMaker Feature Store sert à :","Stocker les modèles","Compresser les données","Chiffrer les datasets","Stocker, partager et réutiliser des features ML (en ligne et hors ligne) entre projets",D,"Feature Store évite les divergences entre training et inference, et favorise la réutilisation des features entre équipes.",Amazon SageMaker Feature Store
D1-040,1,medium,"Quelle architecture de réseau de neurones est typiquement utilisée pour la vision par ordinateur ?","RNN","Decision Tree","CNN (Convolutional Neural Networks)","K-Means",C,"Les CNN exploitent la structure spatiale des images via des convolutions et du pooling. Vision Transformers (ViT) sont une alternative récente.","-"
D1-041,1,medium,"Avant l'arrivée des Transformers, quelle famille d'architectures dominait le traitement des séquences (texte, séries temporelles) ?","Decision Trees","RNN, LSTM, GRU (réseaux récurrents)","CNN classiques","Random Forest",B,"RNN, LSTM et GRU étaient l'état de l'art pour le sequence learning avant les Transformers (2017+).","-"
D1-042,1,easy,"Pourquoi la qualité des données d'entraînement est-elle cruciale en ML ?","Garbage in, garbage out : la qualité des prédictions dépend directement de la qualité des données d'entraînement","Elle n'a aucun impact","Elle compte uniquement pour les modèles d'image","Elle réduit uniquement le temps d'entraînement",A,"Données biaisées ou bruitées → modèle biaisé ou peu fiable. La qualité (complétude, justesse, représentativité) est essentielle.","-"
D1-043,1,medium,"Amazon SageMaker Ground Truth permet de :","Compresser les modèles","Déployer des endpoints","Optimiser les coûts AWS","Étiqueter des données via workforce humain (Mechanical Turk, équipes privées, vendors) et auto-labeling actif",D,"Ground Truth aide à créer des datasets étiquetés de haute qualité pour le supervised learning. Active learning intégré pour réduire les coûts.",Amazon SageMaker Ground Truth
D1-044,1,medium,"Que faire face à un dataset très déséquilibré (ex. 99% classe A, 1% classe B) ?","Ignorer, accuracy suffit","Doubler la taille du modèle","Oversampling (SMOTE), undersampling, class weights, et métriques adaptées (precision, recall, F1)","Mettre temperature à 0",C,"L'accuracy seule trompe avec un dataset déséquilibré. Il faut rééquilibrer et choisir des métriques pertinentes.",Amazon SageMaker
D1-045,1,medium,"Sur la durée de vie d'un modèle utilisé en production massivement, quel poste de coût domine généralement ?","L'entraînement initial uniquement","L'inférence (le serving), souvent supérieure au coût d'entraînement cumulé","Le stockage de l'artefact modèle","Les permissions IAM",B,"L'entraînement est ponctuel, l'inférence tourne en continu sur des millions de requêtes. D'où l'importance du choix du modèle et de l'instance.",Amazon SageMaker
D1-046,1,medium,"Le model drift (data drift, concept drift) en production désigne :","Le fait que la distribution des données réelles s'éloigne des données d'entraînement, dégradant les performances","Une attaque réseau","Un bug du modèle","Une latence excessive",A,"Le drift est inévitable : les comportements clients changent, les distributions évoluent. D'où le besoin de monitoring continu.",Amazon SageMaker Model Monitor
D1-047,1,medium,"Quel outil SageMaker détecte automatiquement la dérive (data quality, model quality, bias drift, feature attribution drift) en production ?","SageMaker Pipelines","CloudTrail","JumpStart","SageMaker Model Monitor",D,"Model Monitor surveille les endpoints en continu et alerte en cas de dérive, permettant un réentraînement à temps.",Amazon SageMaker Model Monitor
D1-048,1,medium,"SageMaker Pipelines sert à :","Configurer la sécurité réseau","Visualiser les coûts AWS","Orchestrer des workflows ML reproductibles (préparation, entraînement, évaluation, déploiement) avec lineage et versioning","Stocker des datasets",C,"Pipelines orchestre les workflows MLOps avec un DAG d'étapes, intégré à Model Registry et Studio.",Amazon SageMaker Pipelines
D1-049,1,medium,"Amazon Augmented AI (A2I) sert à :","Augmenter le nombre de paramètres","Mettre en place une revue humaine pour les prédictions ML (notamment celles à faible confiance ou cas sensibles)","Compresser les modèles","Générer des images",B,"A2I intègre un workflow human-in-the-loop : on définit quand router une prédiction vers un humain (seuil de confiance, échantillonnage).",Amazon Augmented AI
D1-050,1,medium,"Avantage principal d'utiliser un service AI managé (Rekognition, Comprehend, etc.) plutôt qu'un modèle custom SageMaker ?","Aucune expertise ML requise, pas de gestion d'infra ni d'entraînement, paiement à l'usage, prêt à l'emploi","Performance toujours meilleure que tout modèle custom","Toujours moins cher en volume","Code source du modèle accessible",A,"Les services AI managés permettent d'ajouter de l'intelligence en quelques minutes via API. Pour des besoins très spécifiques, un modèle SageMaker custom peut être plus pertinent.",Services AI AWS
