id,domain,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation,service
D4-011,4,medium,"Les content filters de Bedrock Guardrails couvrent :","Uniquement l'orthographe","Aucune catégorie","Hate (haine), Insults (insultes), Sexual (sexuel), Violence, Misconduct (comportement répréhensible), Prompt attacks (injections) avec niveaux d'intensité réglables sur prompt et response","Uniquement la grammaire",C,"6 catégories de content filters avec niveaux low, medium, high réglables séparément pour input (prompt) et output (response).",Amazon Bedrock Guardrails
D4-012,4,medium,"Les denied topics dans Bedrock Guardrails permettent :","D'augmenter le coût","De faire des sauvegardes","De définir explicitement des sujets que le modèle doit refuser de traiter (ex. conseils médicaux, investissements spécifiques)","De désactiver le modèle",C,"Denied topics permet de refuser des sujets précis hors du périmètre métier souhaité (ex. médical pour un chatbot RH).",Amazon Bedrock Guardrails
D4-013,4,easy,"Les word filters de Bedrock Guardrails permettent :","De compresser","De bloquer des mots/expressions spécifiques (mots interdits, noms de concurrents, vulgarités) via listes pré-construites et custom","De faire des updates","De gérer le DNS",B,"Word filters ciblent des termes précis, complémentaire aux content filters qui ciblent des catégories sémantiques.",Amazon Bedrock Guardrails
D4-014,4,medium,"Le sensitive information filter de Bedrock Guardrails :","Augmente le coût","Désactive le modèle","Détecte et masque ou bloque des PII (cartes bancaires, SSN, emails, IP, etc.) et accepte des regex personnalisés","Compresse les modèles",C,"Le PII filter protège contre la divulgation accidentelle de données personnelles dans les prompts ou réponses.",Amazon Bedrock Guardrails
D4-015,4,medium,"Le contextual grounding check de Bedrock Guardrails :","Vérifie que la réponse du modèle est ancrée dans le contexte fourni (ex. en RAG) et pertinente par rapport à la question, pour réduire les hallucinations","Vérifie l'orthographe","Vérifie le format JSON uniquement","Vérifie le coût",A,"Contextual grounding évalue grounding (ancrage) et relevance (pertinence). Très efficace pour réduire les hallucinations en RAG.",Amazon Bedrock Guardrails
D4-016,4,medium,"Stratégies pour réduire les hallucinations :","Augmenter la temperature au maximum","Ignorer","Aucune stratégie connue","RAG (ancrage sources), contextual grounding check (Guardrails), citation des sources, validation humaine, prompts contraints",D,"Anti-hallucination = approche en couches : grounding plus validation plus monitoring. Aucune solution miracle unique.",Amazon Bedrock Guardrails
D4-017,4,easy,"La toxicité dans les sorties LLM désigne :","Du bon humour","Des contenus haineux, insultants, agressifs ou inappropriés que le modèle pourrait produire","De la pollution","De la radioactivité",B,"La toxicité est filtrée via Guardrails (content filters) et peut être détectée a posteriori avec des classifieurs dédiés.",Amazon Comprehend
D4-018,4,easy,"Pourquoi la diversité du jeu d'entraînement est-elle importante ?","Pour augmenter le coût","Aucune raison","Pour réduire le biais et améliorer la généralisation à différentes populations, contextes, langues","Pour augmenter la taille du fichier",C,"Un dataset biaisé produit un modèle biaisé. La représentativité (âge, genre, géographie, langues...) est un pilier de l'équité.",Amazon SageMaker Clarify
D4-019,4,medium,"L'inclusivité en IA consiste à :","Compresser","S'assurer que les systèmes IA sont conçus pour, testés sur, et bénéficient équitablement à un large spectre de populations et de besoins (accessibilité, langues, cultures, handicaps)","Désactiver IAM","Augmenter la latence",B,"L'inclusivité va au-delà de la non-discrimination : c'est concevoir activement pour tous les utilisateurs.",AWS Responsible AI
D4-020,4,hard,"Le disparate impact désigne :","Une politique apparemment neutre mais qui désavantage de manière disproportionnée un groupe protégé (ex. score de crédit qui refuse plus souvent un sous-groupe sans raison légitime)","Une vente flash","Le coût d'une instance EC2","Une animation graphique",A,"Le disparate impact est central en droit antidiscrimination. À analyser avec des métriques comme la 80% rule ou demographic parity.",Amazon SageMaker Clarify
D4-021,4,hard,"Métriques de fairness courantes :","Latency moyenne","Demographic parity, equal opportunity, equalized odds, predictive parity (chaque métrique a ses limites, aucun modèle ne peut toutes les optimiser)","Uniquement accuracy","Coût mensuel",B,"Il existe plusieurs définitions mathématiques de la fairness, parfois mutuellement exclusives. Choisir selon le contexte.",Amazon SageMaker Clarify
D4-022,4,easy,"Amazon Augmented AI (A2I) permet :","De compresser le modèle","D'automatiser un workflow de revue humaine pour les prédictions ML, notamment celles à faible confiance ou sur cas sensibles","De doubler la latency","De désactiver IAM",B,"A2I intègre un workflow human-in-the-loop : routage automatique vers des humains selon des règles (confiance, échantillonnage).",Amazon Augmented AI
D4-023,4,medium,"Le human-in-the-loop est PARTICULIÈREMENT pertinent pour :","Les tâches triviales et à faible enjeu","Aucun cas","Économiser de l'argent en supprimant les humains","Les décisions à fort impact (médical, juridique, RH, prêt) ou les prédictions à faible confiance",D,"Le HITL combine la rapidité de l'IA et le discernement humain pour les cas critiques.",Amazon Augmented AI
D4-024,4,medium,"Pourquoi l'explicabilité (XAI) est-elle importante ?","Inutile","Pour auditer, déboguer, expliquer aux utilisateurs et régulateurs, détecter les biais, gagner la confiance","Pour compresser","Pour augmenter le coût",B,"L'explicabilité est exigée dans plusieurs réglementations (RGPD article 22, AI Act) pour les décisions automatisées significatives.",Amazon SageMaker Clarify
D4-025,4,medium,"Veracity et Robustness en IA responsable signifient :","Le modèle est rapide","Aucune définition","Le modèle fournit des sorties exactes/véridiques et résiste à des entrées adverses ou bruitées (perturbations)","Le modèle est gratuit",C,"Veracity = exactitude factuelle. Robustness = résistance aux attaques adverses et au bruit. Deux piliers complémentaires.",AWS Responsible AI
D4-026,4,medium,"Privacy et Security en IA responsable couvrent :","Uniquement IAM","La protection des données (chiffrement, anonymisation, accès), la confidentialité, la conformité (RGPD…) et la sécurité du modèle (anti-jailbreak)","Uniquement la sauvegarde","Uniquement la latence",B,"Privacy et Security combinent les aspects données et modèle. Bedrock s'aligne avec KMS, PrivateLink, Guardrails.",AWS Responsible AI
D4-027,4,medium,"Différence entre pseudonymisation et anonymisation :","C'est pareil","Aucune différence","Pseudonymisation = remplacer les identifiants par des pseudos réversibles (clé séparée), Anonymisation = transformation irréversible empêchant la ré-identification","Anonymisation est moins forte",C,"Distinction RGPD : pseudonymisé reste personnel ; anonymisé n'est plus personnel. Important pour le scope de la régulation.",AWS Responsible AI
D4-028,4,medium,"Amazon Macie aide à l'IA responsable et à la gouvernance des données en :","Augmentant les latences","Désactivant IAM","Compressant les datasets","Détectant automatiquement des PII, secrets, données sensibles dans Amazon S3 via ML, utile avant d'utiliser un dataset pour entraîner ou fine-tuner",D,"Macie scanne les buckets S3 pour identifier les données sensibles. Étape critique avant d'utiliser un dataset.",Amazon Macie
D4-029,4,medium,"Controllability en IA responsable signifie :","Augmenter la temperature","Désactiver le modèle","Compresser","La capacité de surveiller et de guider le comportement du système IA (intervention humaine, limites, kill switches, paramètres ajustables)",D,"La controllability garantit qu'un humain peut superviser, contrôler, ou arrêter le système IA en cas de besoin.",AWS Responsible AI
D4-030,4,medium,"La gouvernance en IA responsable inclut :","Politiques internes, comités d'éthique, processus de revue, lineage des données, model registry, conformité avec les régulations","Compression seule","DNS seul","Réduction des coûts",A,"La gouvernance est l'ensemble des règles, processus et outils encadrant le développement et l'usage des systèmes IA.",AWS Responsible AI
D4-031,4,easy,"La transparence en IA responsable concerne :","Augmenter le coût","Documenter et communiquer clairement les capacités, limites, données utilisées, et décisions du système (Model Cards, AI Service Cards, citation des sources)","Désactiver IAM","Augmenter la latency",B,"La transparence permet aux utilisateurs, auditeurs et régulateurs de comprendre le fonctionnement et les limites du système.",AWS AI Service Cards
D4-032,4,medium,"Pour des cas d'usage en santé/finance/justice :","Aucune précaution nécessaire","Économiser sur la review humaine","Renforcer la review humaine, l'explicabilité, l'évaluation rigoureuse, le monitoring, et respecter les régulations sectorielles (HIPAA, RGPD, ECOA…)","Désactiver les garde-fous",C,"Industries sensibles = exigences renforcées : conformité, explicabilité, HITL, audits. Pas de raccourcis.",AWS Responsible AI
D4-033,4,medium,"Pour prévenir le mésusage d'un système gen AI :","Ignorer","Politiques d'usage acceptables, Bedrock Guardrails, monitoring, throttling, journalisation, formation des utilisateurs","Faire confiance aveuglément","Désactiver les logs",B,"Prévention multi-couches : technique (Guardrails), processus (AUP, monitoring), humaine (formation, sensibilisation).",Amazon Bedrock Guardrails
D4-034,4,medium,"Exemples de services AWS pour lesquels des AI Service Cards ont été publiées :","Amazon Rekognition Face Matching, Amazon Textract AnalyzeID, Amazon Comprehend Detect Toxic Content, parmi d'autres","Aucun service","Uniquement S3","Uniquement EC2",A,"AWS publie progressivement des Service Cards pour ses services AI, alignés avec les principes de transparence.",AWS AI Service Cards
D4-035,4,medium,"Comment un biais peut-il se propager dans un système IA ?","Il ne se propage pas","Données d'entraînement → modèle → prédictions → décisions → conséquences réelles (boucle qui peut s'amplifier)","Uniquement via DNS","Uniquement via le réseau VPC",B,"Le biais peut s'auto-renforcer : décisions biaisées génèrent de nouvelles données biaisées qui ré-entraînent le modèle.",Amazon SageMaker Clarify
D4-036,4,medium,"Le watermarking de contenus générés par IA :","Vise à marquer (de façon visible ou invisible) les contenus produits par IA pour faciliter leur identification et lutter contre la désinformation","Compresse les modèles","Améliore le DNS","Augmente le coût",A,"Le watermarking est un sujet émergent face au risque de deepfakes et de désinformation à grande échelle.",AWS Responsible AI
D4-037,4,medium,"Stratégies pour mitiger les biais dans un modèle ML :","Augmenter la temperature","Multiplier les modèles","Aucune stratégie n'existe","Curation et rééquilibrage des datasets, métriques de fairness, post-processing, fairness-aware training, audits réguliers, diversité dans l'équipe",D,"Mitigation multi-niveaux : données, algorithme, post-traitement, processus humain. Aucune mesure isolée n'est suffisante.",Amazon SageMaker Clarify
D4-038,4,medium,"Une attaque adverse contre un modèle ML :","Augmente le coût","Améliore la précision","Manipulation subtile de l'entrée pour faire produire au modèle une sortie incorrecte (ex. adversarial examples en vision, prompt injection en LLM)","Désactive IAM",C,"Les attaques adverses sont une menace pour la robustesse. Mitigation : adversarial training, validation des entrées, monitoring.",AWS Responsible AI
D4-039,4,medium,"Une Model Card doit idéalement être :","Créée puis oubliée","Compressée","Dépréciée","Mise à jour pendant tout le cycle de vie du modèle (entraînement, évaluation, déploiement, monitoring) et accessible aux parties prenantes",D,"La Model Card est un document vivant qui accompagne le modèle de la conception au retrait.",Amazon SageMaker Model Cards
D4-040,4,easy,"Le droit à l'explication (souvent mentionné dans le RGPD) signifie :","Les individus impactés par une décision automatisée significative ont le droit d'obtenir une explication compréhensible de cette décision","Le droit de ne pas être expliqué","Le droit de désactiver les modèles","Le droit au remboursement",A,"L'article 22 du RGPD encadre les décisions automatisées. Les outils XAI (SHAP, LIME) aident à respecter ce droit.",AWS Responsible AI
D4-041,4,medium,"Safety en IA responsable :","Le système IA fonctionne de manière sûre et ne cause pas de dommages physiques, économiques ou sociaux indus","Augmenter le coût","Désactiver IAM","Désactiver KMS",A,"Safety couvre les dommages potentiels du système : sécurité physique (véhicules autonomes), économique (trading), social (désinformation).",AWS Responsible AI
D4-042,4,medium,"La durabilité (sustainability) de l'IA implique :","Aucun lien","Considérer l'empreinte carbone de l'entraînement et de l'inférence des grands modèles, choisir des modèles efficients, des régions à énergie verte, optimiser le code","Augmenter la taille des modèles","Multiplier les GPUs inutilement",B,"L'IA a un coût énergétique important. AWS publie des outils (Customer Carbon Footprint Tool) pour mesurer l'impact.",AWS Sustainability
D4-043,4,hard,"Pour un modèle de scoring de crédit :","Aucun audit nécessaire","Augmenter la temperature","Audit fairness régulier (parité démographique, equal opportunity), conformité ECOA/CRD/GDPR, droit à l'explication, monitoring continu, possibilité de challenge humain","Désactiver les logs",C,"Le scoring de crédit est un cas d'usage très régulé. Audit fairness, explicabilité et transparence sont obligatoires.",Amazon SageMaker Clarify
D4-044,4,hard,"Pour un système IA en santé :","Conformité HIPAA/RGPD, validation clinique, transparence sur les limites, supervision médicale, traçabilité, Model Cards, monitoring du drift en production","Augmentation de la temperature","Désactiver KMS","Désactivation des audit logs",A,"La santé est l'un des domaines les plus exigeants : vies en jeu, régulation forte, biais potentiellement graves.",AWS Responsible AI
D4-045,4,medium,"Pour un système IA éducatif :","Aucune précaution","Considérations particulières pour les mineurs (consentement, RGPD-K), fairness (équité d'accès), explicabilité, supervision pédagogique humaine, monitoring des biais","Désactiver toute review","Maximiser l'autonomie sans contrôle",B,"L'éducatif soulève des enjeux spécifiques liés à la protection des mineurs, l'équité d'accès, l'impact pédagogique.",AWS Responsible AI
D4-046,4,medium,"Pour améliorer la véracité d'une réponse LLM :","RAG plus citations des sources plus contextual grounding check (Guardrails) plus revue humaine sur cas critiques","Augmenter temperature","Désactiver Guardrails","Désactiver le RAG",A,"L'ancrage sur des sources fiables et la validation humaine sont les meilleures armes contre les hallucinations.",Amazon Bedrock Guardrails
D4-047,4,medium,"Pour améliorer la robustesse d'un modèle :","Tests adverses, data augmentation, regularization, monitoring du drift, retraining périodique","Compresser sans tests","Désactiver le monitoring","Augmenter la temperature au max",A,"La robustesse se construit dès l'entraînement (data augmentation) et se maintient en production (monitoring, retraining).",Amazon SageMaker Model Monitor
D4-048,4,easy,"L'IA responsable est :","Un voyage continu : évaluation, monitoring, mises à jour des modèles, feedback utilisateur, audits, formations, gouvernance évolutive","Une case à cocher une seule fois","Une contrainte gênante","Un sujet purement technique",A,"L'IA responsable n'est pas un projet ponctuel mais une démarche continue intégrée à toute la chaîne de valeur.",AWS Responsible AI
D4-049,4,medium,"La conception d'un système IA responsable nécessite :","Aucun input externe","Une équipe homogène","D'impliquer des parties prenantes diverses : utilisateurs finaux, experts métiers, juristes, éthiciens, communautés impactées","Uniquement des data scientists",C,"La diversité des parties prenantes permet d'identifier des risques et angles morts qu'une équipe homogène manquerait.",AWS Responsible AI
D4-050,4,medium,"SageMaker Clarify peut être intégré à :","Une analyse pré-entraînement du dataset, l'évaluation post-entraînement du modèle, ET au monitoring en production via SageMaker Model Monitor (bias drift, feature attribution drift)","Uniquement le pre-training","Uniquement la production","Aucun usage en production",A,"Clarify couvre tout le cycle : avant entraînement, après entraînement, et en continu en production via Model Monitor.",Amazon SageMaker Clarify
