id,domain,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation,service
D2-016,2,medium,"Demander au modèle d'expliciter son raisonnement étape par étape avant la réponse finale :","Token streaming","Output filtering","Continuous pretraining","Chain-of-thought (CoT) prompting",D,"Le CoT améliore drastiquement la performance sur les tâches de raisonnement (maths, logique, planification).",Amazon Bedrock
D2-017,2,easy,"Une bonne pratique de prompt engineering est :","Utiliser uniquement des majuscules","Éviter de fournir du contexte","Donner des instructions vagues pour stimuler la créativité","Être clair et spécifique, donner du contexte, indiquer le format de sortie, fournir des exemples si pertinent",D,"Un prompt efficace inclut rôle, instruction précise, contexte, format de sortie, exemples (few-shot) et contraintes claires.",Amazon Bedrock
D2-018,2,medium,"La différence entre un system prompt et un user prompt :","Le system prompt définit le rôle et les règles globales du modèle, le user prompt est la requête spécifique de l'utilisateur","Ce sont deux noms du même concept","Le user prompt est obligatoirement plus long","Le system prompt est facturé plus cher",A,"System prompt = persona, ton, contraintes, format. User prompt = la question actuelle. Cette séparation favorise cohérence et sécurité.",Amazon Bedrock
D2-019,2,medium,"Un foundation model multimodal peut :","Fonctionner uniquement avec du texte","Traiter plusieurs types de données en entrée et/ou sortie (texte plus image plus parfois audio/vidéo)","Être entraîné uniquement en plusieurs langues","Tourner uniquement sur du matériel spécifique",B,"Modèles multimodaux : Claude 3 vision, Amazon Nova, GPT-4o, Gemini. Vision plus texte plus parfois audio.",Amazon Bedrock
D2-020,2,medium,"Sur AWS, quel service permet de générer des images à partir d'un prompt textuel ?","Amazon Polly","Amazon Rekognition","Amazon Bedrock (via Titan Image Generator, Stable Diffusion, Amazon Nova Canvas, etc.)","AWS Snowball",C,"Bedrock expose plusieurs modèles d'image gen : Titan Image, Stability AI (Stable Diffusion, Stable Image), Amazon Nova Canvas.",Amazon Bedrock
D2-021,2,medium,"Quelle technologie sous-tend Amazon Titan Image Generator et Stable Diffusion ?","Les arbres de décision","Les modèles ARIMA","K-Means","Les modèles de diffusion (qui partent d'un bruit gaussien et le débruitent itérativement)",D,"Les diffusion models génèrent des images de qualité par débruitage progressif guidé par le prompt.",Amazon Bedrock
D2-022,2,easy,"Lequel de ces cas est BIEN adapté à un LLM ?","Stocker un catalogue produit","Résumer un long article en quelques phrases clés","Calculer une racine carrée à 50 décimales","Héberger des fichiers binaires",B,"Les LLMs excellent en synthèse, classification, génération, réécriture, traduction. Mauvais en calcul exact ou stockage.",Amazon Bedrock
D2-023,2,easy,"Lequel illustre un usage typique de gen AI ?","Remplacer le service VPC","Gérer IAM","Sauvegarder les bases de données","Générer du code à partir d'une description en langage naturel",D,"La gen AI sert à génération (texte, code, image), résumé, traduction, classification, chatbots. Amazon Q Developer fait de la code gen.",Amazon Q Developer
D2-024,2,medium,"Différence entre un modèle génératif et un modèle discriminatif :","Le génératif est toujours plus précis","Ils sont identiques","Le génératif apprend la distribution des données pour pouvoir générer de nouveaux exemples, le discriminatif apprend les frontières de décision pour classifier","Le discriminatif n'utilise pas de probabilités",C,"Modèle génératif = génère (LLMs, image gen). Discriminatif = classifie (régression logistique, SVM, random forest).","-"
D2-025,2,hard,"La plupart des LLMs grand public actuels (GPT, Claude, Llama) utilisent une architecture :","Encoder-only (type BERT)","Encoder-decoder (type T5)","Decoder-only (type GPT, autorégressive)","Sans Transformer",C,"GPT, Claude, Llama sont decoder-only (autorégressifs). BERT est encoder-only. T5 est encoder-decoder.","-"
D2-026,2,easy,"Les embeddings sont utilisés pour :","Recherche sémantique, clustering de documents, recommandation, RAG, mesure de similarité","Augmenter la temperature","Configurer IAM","Mesurer la latence du modèle",A,"Les embeddings (vecteurs denses) permettent de comparer le sens entre contenus. Base de la recherche sémantique et du RAG.",Amazon Titan Embeddings
D2-027,2,medium,"Pour comparer deux embeddings et mesurer leur similarité sémantique, on utilise typiquement :","Distance de Hamming","Différence de tokens","Comptage d'octets","Cosine similarity (similarité cosinus)",D,"La cosine similarity mesure l'angle entre deux vecteurs (de -1 à 1). Standard pour comparer des embeddings.","-"
D2-028,2,easy,"La famille Amazon Titan inclut :","Uniquement des modèles de vidéo","Des modèles de texte, d'image et d'embeddings développés par AWS","Uniquement des modèles open source","Une seule taille de modèle disponible",B,"Titan = famille de FMs propriétaires AWS : Titan Text, Titan Embeddings, Titan Image Generator, accessibles via Bedrock.",Amazon Titan
D2-029,2,medium,"Pourquoi les foundation models peuvent-ils présenter des biais ?","Ils sont volontairement programmés pour être biaisés","Les biais viennent uniquement du prompt utilisateur","Les biais n'existent pas dans les FMs","Ils héritent des biais présents dans leurs vastes corpus d'entraînement (textes web reflétant les biais sociétaux)",D,"Les biais (genre, ethnie, culture) des corpus se retrouvent dans le modèle. Mitigation : Bedrock Guardrails, RLHF, datasets curatés, monitoring.",Amazon Bedrock Guardrails
D2-030,2,easy,"Limitations TYPIQUES de l'IA générative :","Hallucinations, biais, knowledge cutoff, coût en compute, latence","Vitesse parfaite","Précision factuelle garantie","Raisonnement mathématique toujours exact",A,"Connaître les limites est essentiel à l'IA responsable. Mitigation : RAG, validation, guardrails, human-in-the-loop.",Amazon Bedrock
D2-031,2,medium,"Le coût d'un appel à un LLM dépend principalement de :","Du nom du modèle uniquement","De la météo","Du nombre de tokens en entrée et en sortie, et du modèle choisi","De la couleur de l'interface",C,"Bedrock facture au token (input et output), avec des tarifs différents par modèle. Optimiser les prompts et choisir le bon modèle réduit les coûts.",Amazon Bedrock
D2-032,2,medium,"Quel facteur impacte le plus la latence perçue d'un LLM ?","La couleur du logo","L'heure de la journée","Le navigateur","Le nombre de tokens à générer (latence proportionnelle), la taille du modèle, la région AWS",D,"Latence LLM = TTFT (time-to-first-token) plus tokens/sec. Petits modèles, streaming et régions proches améliorent l'UX.",Amazon Bedrock
D2-033,2,medium,"Le streaming d'une réponse LLM consiste à :","Streaming de vidéo","Lire le prompt à voix haute","Recevoir les tokens un par un dès qu'ils sont générés, plutôt que d'attendre la fin","Compresser la requête",C,"Le streaming améliore l'UX (TTFT court), surtout pour les longues réponses. L'API Bedrock supporte le streaming.",Amazon Bedrock
D2-034,2,medium,"Le paramètre stop_sequences sert à :","Arrêter automatiquement la génération quand le modèle produit une séquence spécifique","Configurer le pare-feu","Stopper l'entraînement du modèle","Annuler la facturation",A,"Stop sequences = chaîne(s) qui, si détectées, arrêtent la génération. Utile pour contrôler la sortie (ex. arrêter à FIN).",Amazon Bedrock
D2-035,2,medium,"Avantage d'un FM par rapport à un modèle ML traditionnel entraîné from scratch :","Aucun avantage","Polyvalence : pré-entraîné sur vastes données, adaptable à de nombreuses tâches sans données massives spécifiques","Toujours moins cher","Aucun besoin de données du tout",B,"Les FMs permettent de démarrer rapidement (zero/few-shot, RAG) sans collecter et étiqueter de gros jeux de données.",Amazon Bedrock
D2-036,2,easy,"Amazon Bedrock propose des modèles de fournisseurs comme :","Aucun, uniquement des modèles Amazon","Uniquement Anthropic","Anthropic (Claude), Meta (Llama), AI21, Cohere, Mistral, Amazon (Titan, Nova), Stability AI","Uniquement des modèles open source",C,"Bedrock = marketplace de FMs de plusieurs fournisseurs, accessibles via API unique.",Amazon Bedrock
D2-037,2,easy,"Lequel des cas suivants est typiquement BIEN adapté à un LLM ?","Sauvegarder une base de données","Sécuriser le réseau VPC","Gérer le DNS","Générer du code à partir d'instructions en langage naturel",D,"La code generation est un usage majeur de la gen AI. Amazon Q Developer, Claude, etc. le font.",Amazon Q Developer
D2-038,2,easy,"Pour traduire automatiquement un document juridique en plusieurs langues, on peut utiliser :","Un LLM via Amazon Bedrock ou Amazon Translate (service spécialisé)","Amazon Macie","Amazon Inspector","AWS Backup",A,"Translate = service spécialisé (bon coût et performance pour traduction pure). LLMs via Bedrock = plus de flexibilité (style, terminologie spécifique).",Amazon Translate
D2-039,2,medium,"Pour répondre à des questions sur une base de connaissances interne :","Amazon GuardDuty","Amazon Macie","Pattern RAG avec un LLM plus base vectorielle (ex. Amazon Bedrock Knowledge Bases)","AWS Shield",C,"Q&A interne est le cas d'usage RAG par excellence. Knowledge Bases automatise toute la chaîne.",Amazon Bedrock Knowledge Bases
D2-040,2,easy,"Amazon Bedrock est :","Un service serverless donnant accès à des foundation models via une API unique","Un service de stockage objet","Un orchestrateur Kubernetes","Un service de monitoring",A,"Bedrock = serverless (pas d'infra à gérer), API unifiée, plusieurs FMs disponibles, IAM intégré, KMS, PrivateLink.",Amazon Bedrock
D2-041,2,medium,"Que représente le nombre de paramètres d'un LLM (ex. 7B, 70B) ?","Le nombre de tokens d'entraînement","Le nombre de poids du réseau de neurones (en milliards)","Le coût en dollars","La durée d'entraînement en années",B,"7B = 7 milliards de poids. Plus de paramètres = généralement plus capable mais plus coûteux et lent.","-"
D2-042,2,medium,"Un tokenizer fait quoi ?","Il compresse les images","Il découpe le texte en unités traitables par le modèle (BPE, WordPiece, SentencePiece, etc.)","Il authentifie l'utilisateur","Il gère la facturation",B,"Le tokenizer convertit le texte en IDs numériques que le modèle peut traiter. Chaque modèle a son tokenizer.","-"
D2-043,2,easy,"Les foundation models peuvent être catégorisés selon leur modalité principale :","Texte (LLM), image, audio, code, embeddings, multimodal","Uniquement texte","Uniquement image","Uniquement vidéo",A,"Texte (LLMs), image (Stable Diffusion), embedding (Titan Embeddings), audio, code, multimodal (Claude vision, Nova).",Amazon Bedrock
D2-044,2,medium,"Comment combler la limitation du knowledge cutoff d'un FM ?","Réentraîner le modèle chaque jour","Accepter que le modèle ne soit jamais à jour","Désactiver le modèle","Utiliser RAG (ancrage sur des données fraîches) ou un agent capable d'appeler des outils/APIs externes",D,"RAG et agents sont les approches standards pour donner accès à de l'information à jour sans réentraîner le modèle.",Amazon Bedrock Knowledge Bases
D2-045,2,medium,"Pour réduire le risque qu'un LLM produise des contenus biaisés ou toxiques en production :","Espérer que cela n'arrive pas","Utiliser Amazon Bedrock Guardrails (content filters, denied topics, sensitive info) plus monitoring","Désactiver IAM","Désactiver le chiffrement",B,"Bedrock Guardrails est l'outil dédié de safety pour Bedrock. À combiner avec du monitoring et de l'évaluation continue.",Amazon Bedrock Guardrails
D2-046,2,medium,"Un prompt template :","Est obligatoirement en YAML","Est un format de fichier de config réseau","Est un prompt paramétré et réutilisable où l'on injecte les variables dynamiques","Est synonyme de système d'exploitation",C,"Les templates standardisent l'usage des prompts dans une application (ex. RAG : contexte plus question), facilitent les itérations et le versioning.",Amazon Bedrock
D2-047,2,medium,"Une base de données vectorielle sert à :","Compresser des modèles","Faire de l'OCR","Authentifier les utilisateurs","Stocker et rechercher efficacement des embeddings vectoriels selon leur similarité (Approximate Nearest Neighbor)",D,"Vector DB = brique fondamentale du RAG. Options AWS : OpenSearch Serverless, Aurora pgvector, MemoryDB, Pinecone, etc.",Amazon OpenSearch
D2-048,2,easy,"Pour faire de l'analyse de sentiment, on peut utiliser :","Amazon Comprehend (service spécialisé) ou un LLM via Bedrock (plus flexible mais plus coûteux)","Amazon Glacier","AWS Snowball","AWS Direct Connect",A,"Comprehend est optimisé pour l'analyse de sentiment (rapide, abordable). Un LLM peut donner plus de nuances mais à plus haut coût.",Amazon Comprehend
D2-049,2,medium,"Comment optimiser le coût d'usage d'un LLM ?","Toujours utiliser le modèle le plus grand","Multiplier les appels parallèles","Choisir le modèle adapté à la complexité de la tâche (petit modèle pour les tâches simples), optimiser les prompts, cacher les résultats répétitifs","Désactiver le streaming",C,"La hiérarchie des modèles (Haiku, Sonnet, Opus ; Nova Micro, Lite, Pro) permet d'arbitrer coût et qualité.",Amazon Bedrock
D2-050,2,medium,"Approche typique de développement d'un cas d'usage avec foundation model :","Identifier le cas, choisir le modèle, prompt engineering, évaluer, ajouter RAG/fine-tuning si besoin, déployer, monitorer","Compresser, déployer, oublier","Entraîner from scratch","Aucune méthodologie n'est nécessaire",A,"Approche itérative recommandée : commencer simple (prompt), puis enrichir si besoin (RAG, fine-tuning). Toujours évaluer et monitorer.",Amazon Bedrock
