id,domain,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation,service
D3-011,3,medium,"Pourquoi le chunking (découpage des documents en morceaux) est important en RAG ?","C'est inutile","Cela permet de stocker des embeddings de chunks pertinents (passages limités) plutôt que de documents entiers, améliorant la recherche et la pertinence du contexte injecté","Cela compresse le modèle","Cela accélère IAM",B,"Le chunking équilibre granularité (assez petit pour être précis) et contexte (assez grand pour être autosuffisant). Critique en RAG.",Amazon Bedrock Knowledge Bases
D3-012,3,easy,"Quel est le rôle principal d'Amazon Bedrock Agents ?","Stocker des embeddings","Gérer les certificats SSL","Orchestrer des actions multi-étapes : interpréter une demande, appeler des outils/APIs (via Lambda), maintenir l'état, retourner un résultat","Compresser les modèles",C,"Les Agents permettent au LLM d'agir, pas seulement de répondre : décomposition de tâche, appels d'outils, raisonnement avec les résultats.",Amazon Bedrock Agents
D3-013,3,medium,"Dans Bedrock Agents, les action groups définissent :","Les permissions IAM uniquement","Les outils/APIs que l'agent peut invoquer (via Lambda plus schéma OpenAPI ou function definitions)","La couleur du chatbot","Le coût mensuel",B,"Un action group lie l'agent à des fonctions Lambda exécutables, décrites par un schéma OpenAPI ou des function definitions.",Amazon Bedrock Agents
D3-014,3,medium,"Bedrock Model Evaluation propose :","Du chiffrement","De la compression","Des permissions","Des évaluations automatiques (métriques) et humaines pour comparer la qualité de plusieurs FMs sur des tâches spécifiques",D,"Model Evaluation aide à choisir le bon FM pour son cas d'usage en comparant accuracy, robustesse, toxicité, etc.",Amazon Bedrock Model Evaluation
D3-015,3,medium,"Critères pertinents pour choisir un FM sur Bedrock :","Coût d'inférence, latence, qualité sur la tâche, context window, capacités (multimodal, langue, code), disponibilité régionale","Uniquement le coût","Uniquement la taille","Uniquement la popularité",A,"Le choix d'un FM est multi-critères. Bedrock Model Evaluation aide à objectiver ce choix.",Amazon Bedrock
D3-016,3,medium,"Pour minimiser le coût d'inférence sur Bedrock tout en gardant la qualité :","Toujours utiliser le plus grand modèle","Choisir un modèle plus petit ou spécialisé pour la tâche et l'évaluer, optimiser les prompts, utiliser le batch inference pour les workloads non temps réel","Multiplier les modèles en parallèle","Désactiver IAM",B,"La hiérarchie des modèles (Haiku, Sonnet, Opus ; Nova Micro, Lite, Pro) permet d'arbitrer. Batch = -50% pour les jobs en différé.",Amazon Bedrock
D3-017,3,medium,"Bedrock Provisioned Throughput convient à :","Un usage gratuit","Un usage occasionnel","Une charge élevée, stable, prévisible avec exigence de débit garanti","Du backup",C,"Provisioned Throughput garantit un débit constant à un coût prévisible pour les charges importantes et régulières. Engagement.",Amazon Bedrock
D3-018,3,medium,"Bedrock Batch inference est adapté à :","Du temps réel à faible latence","L'authentification","La compression","Traitement par lots de gros volumes en différé, à tarif réduit",D,"Le batch inference permet d'envoyer un fichier de prompts via S3 et de recevoir les résultats en différé à tarif réduit (généralement -50%).",Amazon Bedrock
D3-019,3,medium,"Pour réduire la latence d'une application utilisant un LLM :","Doubler la taille des prompts","Désactiver KMS","Désactiver CloudTrail","Choisir un modèle plus petit ou rapide (ex. Haiku, Nova Micro), activer le streaming, optimiser la longueur des prompts, déployer dans une région proche",D,"Latence LLM = TTFT plus tokens/sec. Petits modèles, streaming et régions proches sont les leviers principaux.",Amazon Bedrock
D3-020,3,easy,"Amazon Q Business est :","Un service de stockage","Un assistant IA générative pour entreprises, connectable aux apps métier (SharePoint, Salesforce, Confluence, S3...) qui respecte les permissions existantes","Un outil de monitoring","Un service de DNS",B,"Q Business est l'assistant gen AI prêt à l'emploi pour les employés, avec connecteurs métier et respect des ACL.",Amazon Q Business
D3-021,3,medium,"Amazon Q Business respecte :","Aucune permission","Uniquement les groupes Active Directory","Les ACL/permissions existantes de chaque source de données connectée (un utilisateur ne voit que ce qu'il a le droit de voir)","Uniquement les permissions S3",C,"C'est un point critique de sécurité : Q Business hérite des ACL pour ne pas exposer de données à des utilisateurs non autorisés.",Amazon Q Business
D3-022,3,easy,"Amazon Q Developer aide les développeurs à :","Faire du marketing","Faire de la prévision de ventes","Gérer la facturation","Écrire, expliquer, déboguer du code (dans IDE, console AWS, CLI), répondre à des questions AWS, scanner les vulnérabilités, moderniser du code",D,"Q Developer (anciennement CodeWhisperer) est l'assistant code IA d'AWS, intégré à VS Code, JetBrains, console AWS, CLI.",Amazon Q Developer
D3-023,3,medium,"Amazon Q in QuickSight permet :","De voler des données","De désactiver le chiffrement","D'interroger des dashboards et générer des insights en langage naturel, et de créer des stories de données automatiquement","De gérer EC2",C,"Q in QuickSight démocratise l'accès aux données analytiques via langage naturel.",Amazon QuickSight
D3-024,3,easy,"Amazon SageMaker JumpStart est :","Un service de billing","Un type d'instance EC2","Une console réseau","Un catalogue de FMs (open source et propriétaires) et de solutions ML pré-construites, déployables en quelques clics dans son propre compte",D,"JumpStart accélère le démarrage avec des modèles pré-construits déployables dans son environnement SageMaker.",Amazon SageMaker JumpStart
D3-025,3,medium,"Différence principale entre SageMaker JumpStart et Amazon Bedrock :","Ce sont les mêmes","Bedrock est serverless avec API unique pour des fournisseurs commerciaux, JumpStart déploie le modèle dans ton infra SageMaker avec plus d'open source et de contrôle","JumpStart est uniquement pour les images","Bedrock est obsolète",B,"Bedrock = managé/serverless. JumpStart = déploiement dans ton compte avec plus de contrôle sur l'infra et les modèles open source.",Amazon SageMaker JumpStart vs Bedrock
D3-026,3,easy,"SageMaker Canvas vise :","Les data scientists experts uniquement","La gestion des certificats SSL","Les utilisateurs métier (no-code) pour construire des modèles ML par interface visuelle, incluant l'usage de FMs","La compression de fichiers",C,"Canvas est l'outil no-code de SageMaker : analystes et métiers peuvent construire des modèles de classification, régression, prévision, et appeler des FMs sans code.",Amazon SageMaker Canvas
D3-027,3,medium,"Pour obtenir des réponses FACTUELLES et déterministes d'un LLM (ex. extraction structurée) :","Augmenter temperature au maximum","Diminuer temperature (proche de 0) et utiliser top_p restrictif","Désactiver l'inférence","Doubler max_tokens",B,"Pour des tâches déterministes (extraction, classification, code), temperature basse (0 à 0.2) et top_p modéré (0.1 à 0.5).",Amazon Bedrock
D3-028,3,medium,"Pour des réponses créatives et variées (brainstorming, slogans publicitaires) :","Augmenter temperature (ex. 0.8) et top_p plus permissif","Diminuer temperature à 0","Désactiver tous les paramètres","Réduire max_tokens à 1",A,"Temperature élevée (0.7 à 1) et top_p élevé maximisent la diversité des sorties créatives.",Amazon Bedrock
D3-029,3,medium,"Une architecture RAG basique comporte typiquement :","Uniquement un LLM","Aucun composant supplémentaire","Un load balancer","Un retriever (vector search) plus un generator (LLM) plus un vector store (avec embeddings) plus des sources de données",D,"Les composants RAG : ingestion (chunking, embeddings), stockage (vector DB), retrieval (similarité), génération (LLM avec contexte).",Amazon Bedrock Knowledge Bases
D3-030,3,easy,"Sur Amazon Bedrock, quel modèle est spécifiquement conçu pour générer des embeddings vectoriels ?","Amazon Titan Text","Amazon Titan Embeddings (et Cohere Embed)","Amazon Polly","AWS Lambda",B,"Titan Embeddings (et Cohere Embed) sont des modèles d'embeddings sur Bedrock pour convertir texte en vecteurs.",Amazon Titan Embeddings
D3-031,3,medium,"Bonne pratique de prompt engineering :","Donner des instructions vagues","Mettre tout en majuscules","Être clair et spécifique, fournir du contexte, indiquer le format attendu, et inclure des exemples si pertinent","Ne pas fournir d'instruction",C,"Un prompt efficace inclut : rôle, instruction précise, contexte, format de sortie, exemples (few-shot), contraintes claires.",Amazon Bedrock
D3-032,3,medium,"Cas d'usage typique d'un FM multimodal :","Décrire le contenu d'une image, extraire les données d'un tableau dans une photo, expliquer un graphique","Compresser des modèles","Faire de la sauvegarde","Gérer le DNS",A,"Modèles multimodaux (Claude 3 vision, Amazon Nova) permettent de raisonner sur du texte plus images plus parfois audio/vidéo.",Amazon Bedrock
D3-033,3,easy,"Cas d'usage de génération d'images :","Sauvegarder S3","Compresser le réseau","Créer des visuels marketing, illustrer un produit, prototypage rapide, augmentation de données","Gérer IAM",C,"Les use cases image gen sont nombreux : marketing, design, e-commerce, jeux, formation, prototypage.",Amazon Bedrock
D3-034,3,medium,"Le tool use (function calling) avec un LLM permet :","Au modèle de décider d'appeler une fonction ou API externe avec des arguments structurés (JSON), pour étendre ses capacités au-delà du texte","Désactiver le modèle","Compresser les prompts","Lire l'historique de billing",A,"Tool use rend les LLMs actionnables : ils peuvent invoquer des outils externes (calculatrice, base de données, API) selon le contexte.",Amazon Bedrock
D3-035,3,medium,"Architecture typique pour Q&A sur des documents internes :","Documents → chunking → embeddings → vector store → retriever → LLM → réponse (RAG)","Documents → impression → fax","Documents → IAM → CloudTrail","Documents → Lambda → Lambda",A,"Pipeline RAG classique : ingestion, vector store, retrieval, génération avec contexte injecté.",Amazon Bedrock Knowledge Bases
D3-036,3,easy,"Pour aider les développeurs à écrire du code avec de l'IA générative dans leur IDE :","Amazon Q Developer (anciennement CodeWhisperer)","Amazon Glacier","AWS Snowball","AWS Direct Connect",A,"Q Developer s'intègre à VS Code, JetBrains, console AWS, CLI pour la complétion, génération, debugging, refactoring.",Amazon Q Developer
D3-037,3,medium,"Pour expérimenter rapidement avec différents foundation models sur Bedrock sans coder :","Compresser le modèle","Désactiver l'API","Utiliser AWS Lambda","Utiliser les Playgrounds Bedrock (Chat, Text, Image) dans la console AWS",D,"Les Playgrounds Bedrock permettent de tester rapidement les modèles disponibles dans la console, idéal pour la phase d'évaluation.",Amazon Bedrock
D3-038,3,medium,"Critères pour choisir un vector store pour son cas RAG :","Le logo du fournisseur","Latence p99, débit, scalabilité, coût, intégration avec Bedrock Knowledge Bases, recherche hybride (BM25 plus vector), opérationnel","Uniquement le prix","Uniquement la couleur",B,"Le choix dépend du volume, des SLA, du budget, des features avancées (hybrid search, filtres metadata), de l'intégration.",Amazon OpenSearch
D3-039,3,medium,"Bedrock Knowledge Bases supporte les modes :","Aucun mode","Uniquement Retrieve (renvoie les chunks sans génération)","Retrieve (renvoie les chunks pertinents) ET RetrieveAndGenerate (chunks plus réponse LLM)","Uniquement Generate",C,"Retrieve permet de garder le contrôle sur la génération (ex. un autre LLM). RetrieveAndGenerate fait tout en un appel.",Amazon Bedrock Knowledge Bases
D3-040,3,medium,"Le choix de région AWS pour Bedrock impacte :","La résidence des données, la disponibilité des modèles, la latence, et la conformité","Uniquement la couleur de la console","Rien du tout","Uniquement le DNS",A,"Tous les modèles ne sont pas disponibles dans toutes les régions. La résidence des données est importante pour le RGPD.",Amazon Bedrock
D3-041,3,medium,"Pour intégrer un FM à une application métier existante :","Refaire l'application from scratch","Appeler l'API Bedrock InvokeModel ou Converse depuis le code applicatif via SDK (boto3, JS, Java...)","Utiliser uniquement la console manuelle","Désactiver l'API",B,"L'intégration applicative se fait via les SDK AWS : code applicatif → Bedrock API → réponse du modèle.",Amazon Bedrock
D3-042,3,medium,"L'API Converse de Bedrock :","Permet la sauvegarde S3","Fait du DNS","Stocke des fichiers","Fournit une interface unifiée pour discuter avec plusieurs modèles, supporte le tool use, le streaming, la vision",D,"L'API Converse standardise l'invocation entre modèles (paramètres communs, format unifié), simplifie le code multi-modèles.",Amazon Bedrock
D3-043,3,medium,"Pour mitiger le risque de prompt injection :","Ignorer","Bedrock Guardrails (prompt attacks filter), séparation system/user prompt, échappement et filtrage des entrées, validation des sorties","Aucune mitigation possible","Désactiver tout",B,"Le prompt injection est une attaque critique. Mitigation multi-couches : Guardrails, isolation des entrées, validation, monitoring.",Amazon Bedrock Guardrails
D3-044,3,medium,"Un Bedrock Agent peut :","Uniquement répondre par OUI/NON","Aucune capacité d'orchestration","Décomposer une tâche complexe en étapes, appeler plusieurs outils, raisonner avec les résultats, ajuster son plan","Remplacer SageMaker",C,"Les Agents permettent une orchestration complexe : multi-step reasoning, tool calling itératif, gestion d'état.",Amazon Bedrock Agents
D3-045,3,medium,"Pour monitorer une application gen AI en production :","Aucun monitoring nécessaire","Désactiver CloudWatch","Augmenter temperature","CloudWatch (metrics, logs), CloudTrail (audit), Bedrock model invocation logs (S3), évaluation continue de la qualité",D,"Monitoring multi-niveaux : opérationnel (CloudWatch), audit (CloudTrail), contenu (invocation logs), qualité (évaluation continue).",Amazon CloudWatch
D3-046,3,medium,"PartyRock est :","Un service de bases de données","Un service de billing","Un service réseau","Une plateforme AWS publique pour expérimenter et construire des applications gen AI sans code, basée sur Bedrock",D,"PartyRock est un playground gratuit pour découvrir la gen AI et prototyper des apps sans code.",PartyRock
D3-047,3,medium,"Pour qu'un chatbot LLM se souvienne du contexte d'une conversation :","Inclure l'historique des messages précédents dans le prompt à chaque tour (ou utiliser des mécanismes de session)","Réentraîner le modèle après chaque message","Espérer","Désactiver le modèle",A,"Les LLMs sont stateless. La mémoire conversationnelle est gérée côté application en réinjectant l'historique à chaque tour.",Amazon Bedrock
D3-048,3,medium,"Comment optimiser le coût des prompts en RAG ?","Toujours injecter le maximum de tokens","Limiter la taille des chunks/du contexte injecté, retrieval pertinent, éliminer le contenu redondant, choisir un bon embedding model","Augmenter inutilement le contexte","Désactiver le retrieval",B,"En RAG, chaque token de contexte coûte. Optimiser le retrieval (top-k, reranking) et le chunking est essentiel.",Amazon Bedrock Knowledge Bases
D3-049,3,medium,"SageMaker Studio plus JumpStart permet :","De déployer et fine-tuner des FMs (notamment open source) dans son propre environnement, avec contrôle complet de l'infra","Uniquement de visualiser des billings","Uniquement du backup","Du DNS",A,"SageMaker Studio plus JumpStart = option contrôlée, idéale pour fine-tuning approfondi ou modèles open source spécifiques.",Amazon SageMaker JumpStart
D3-050,3,medium,"Approche recommandée pour développer une application gen AI :","Tout fine-tuner d'emblée","Réentraîner from scratch","Itérer : commencer par prompt engineering (zero/few-shot), évaluer, puis ajouter RAG si besoin de connaissance externe, puis fine-tuning si style/format spécifique","N'utiliser que des modèles propriétaires",C,"Approche incrémentale : on évalue à chaque étape, on ne complexifie que si nécessaire. Règle d'or AWS.",Amazon Bedrock
