id,domain,difficulty,question,option_a,option_b,option_c,option_d,correct_answer,explanation,service
D5-011,5,medium,"AWS Config sert à :","Compresser des fichiers","Inventorier, suivre et auditer la configuration des ressources AWS dans le temps (et alerter en cas de non-conformité aux règles)","Désactiver IAM","Augmenter le coût",B,"AWS Config évalue la conformité de la configuration des ressources et permet des remédiations automatiques.",AWS Config
D5-012,5,medium,"Amazon Macie permet :","De détecter automatiquement des données sensibles (PII, secrets, données financières) dans Amazon S3 grâce au ML","De compresser des modèles","D'augmenter la temperature","D'entraîner des FMs",A,"Macie est l'outil de découverte des données sensibles dans S3. Crucial pour la gouvernance avant tout fine-tuning.",Amazon Macie
D5-013,5,easy,"Amazon GuardDuty est :","Un outil de sauvegarde","Un service réseau","Un service de détection de menaces de sécurité (anomalies réseau, comportements suspects sur EC2, S3, IAM, EKS, RDS, Lambda…)","Un IDE",C,"GuardDuty analyse les logs CloudTrail, VPC Flow Logs, DNS pour détecter les menaces (compromission de credentials, malware, exfiltration…).",Amazon GuardDuty
D5-014,5,medium,"Amazon Inspector :","Compresse","Scanne en continu les workloads (EC2, ECR, Lambda) à la recherche de vulnérabilités logicielles et expositions réseau (CVEs)","Désactive IAM","Augmente la latence",B,"Inspector est l'outil de vulnerability assessment AWS, intégré avec Amazon ECR pour les images de conteneurs.",Amazon Inspector
D5-015,5,medium,"AWS Audit Manager aide à :","Augmenter la temperature","Désactiver KMS","Faire des sauvegardes","Automatiser la collecte de preuves pour des audits de conformité (PCI DSS, HIPAA, RGPD, SOC 2, ISO 27001, etc.) selon des frameworks prêts à l'emploi",D,"Audit Manager accélère la préparation d'audits internes ou externes en collectant automatiquement les preuves.",AWS Audit Manager
D5-016,5,medium,"AWS Artifact donne accès à :","Des rapports de conformité AWS (SOC, ISO, PCI…) et à des contrats juridiques (BAA pour HIPAA, DPA pour RGPD…)","Des modèles ML","Du calcul GPU","Des prompts pré-construits",A,"Artifact est le portail de documents de conformité. Indispensable pour les audits et les contrats légaux.",AWS Artifact
D5-017,5,medium,"Frameworks de conformité applicables à un usage gen AI sur AWS :","Aucun","Uniquement RGPD","Uniquement HIPAA","RGPD (Europe), HIPAA (santé US), SOC 2, ISO 27001, FedRAMP (gouvernement US), PCI DSS (paiements), AI Act (UE), selon le contexte",D,"Le contexte (industrie, géographie, type de données) détermine les frameworks applicables. AWS publie ses rapports via Artifact.",AWS Compliance
D5-018,5,medium,"Pour utiliser Bedrock sur des données de santé soumises à HIPAA :","Aucune précaution","Signer un BAA (Business Associate Agreement) avec AWS, utiliser uniquement les services éligibles HIPAA, configurer correctement (KMS, IAM, journalisation, etc.)","Désactiver KMS","Désactiver tous les contrôles",B,"Le BAA est un prérequis légal. AWS publie la liste des services HIPAA-éligibles ; Bedrock en fait partie depuis 2024.",HIPAA et AWS
D5-019,5,medium,"La gouvernance des données dans un projet AI/ML inclut :","Catalogage (AWS Glue Data Catalog), classification, lineage, qualité, accès contrôlé, conformité, cycle de vie","Aucune notion","Compression seule","Uniquement IAM",A,"La gouvernance des données est multi-dimensionnelle : qualité, accès, traçabilité, conformité, cycle de vie.",AWS Lake Formation
D5-020,5,medium,"AWS Glue Data Catalog :","Compresse","Désactive","Catalogue centralisé des métadonnées de données (schémas, partitions, lineage) qui rend les données découvrables et utilisables par les outils analytiques et ML","Augmente la latency",C,"Glue Data Catalog est la métadonnée centrale du data lake AWS, utilisée par Athena, EMR, Redshift Spectrum, Lake Formation, SageMaker.",AWS Glue Data Catalog
D5-021,5,medium,"AWS Lake Formation :","Coupe le réseau","Permet de construire, sécuriser et gérer des data lakes (centralisation des permissions data au niveau colonne et ligne, lineage, partage entre comptes)","Compresse les modèles","Désactive IAM",B,"Lake Formation simplifie le data governance au niveau du data lake : fine-grained permissions, partage cross-account.",AWS Lake Formation
D5-022,5,medium,"Pour gérer plusieurs comptes AWS avec des politiques centralisées (governance, security baselines) :","Utiliser un seul compte gigantesque","AWS Organizations plus Service Control Policies (SCPs) pour appliquer des garde-fous au niveau organisationnel","Désactiver IAM","Partager les credentials root",B,"AWS Organizations plus SCPs sont la base d'une gouvernance multi-comptes : on définit ce qui est PERMIS au maximum.",AWS Organizations
D5-023,5,medium,"Les Service Control Policies (SCPs) :","Désactivent IAM","Augmentent le coût","Sont des garde-fous au niveau Organizations qui définissent les permissions maximales possibles dans les comptes (filtre par-dessus IAM)","Sauvegardent",C,"SCPs = filtre maximum. Même un admin local ne peut pas dépasser ce qu'une SCP autorise. Très utiles pour interdire des régions ou services.",AWS Organizations
D5-024,5,easy,"Les tags AWS servent (entre autres) à :","Augmenter la temperature","Désactiver IAM","Faire de la sauvegarde","Organiser les ressources pour la facturation, l'attribution de coûts, l'automatisation et le contrôle d'accès basé sur les tags",D,"Les tags sont fondamentaux pour la gouvernance : cost allocation, automation, ABAC (Attribute-Based Access Control).",AWS Tagging
D5-025,5,medium,"AWS Secrets Manager sert à :","Gérer le DNS","Stocker, gérer et faire tourner automatiquement des secrets (credentials, tokens API, clés) avec audit complet","Désactiver KMS","Compresser",B,"Secrets Manager évite de hardcoder des credentials. Rotation automatique avec Lambda. Intégré IAM et KMS.",AWS Secrets Manager
D5-026,5,medium,"Pour mettre en place une défense en profondeur (defense in depth) sur un cas d'usage gen AI :","Combiner plusieurs couches : IAM (qui), réseau (VPC, PrivateLink), chiffrement (KMS en transit et au repos), Guardrails (contenu), monitoring (CloudTrail/CloudWatch), audit (Audit Manager)","Une seule couche IAM suffit","Aucune mesure","Désactiver tout sauf le modèle",A,"La défense en profondeur multiplie les barrières : si une faille existe à un niveau, les autres couches contiennent l'impact.",AWS Well-Architected
D5-027,5,medium,"Le model versioning (versionnage des modèles) dans SageMaker permet :","De suivre, comparer et déployer différentes versions d'un modèle via SageMaker Model Registry, avec lineage et gouvernance","Augmenter la temperature","Désactiver IAM","Compresser",A,"SageMaker Model Registry centralise les versions, lineage, approbations et déploiements pour la gouvernance MLOps.",Amazon SageMaker Model Registry
D5-028,5,medium,"Avant de fine-tuner un foundation model sur des données sensibles, une bonne pratique de gouvernance consiste à :","Publier le dataset sur Internet","Supprimer les logs","Désactiver le chiffrement","Vérifier la qualité, anonymiser/pseudonymiser les PII (Macie peut aider), documenter le lineage, obtenir les autorisations légales, chiffrer (KMS)",D,"Préparation de dataset = étape critique de gouvernance avant tout fine-tuning. Macie aide à identifier les données sensibles.",Amazon Macie
D5-029,5,easy,"Multi-Factor Authentication (MFA) :","Augmente la latency","Désactive IAM","Désactive KMS","Renforce l'authentification en demandant un second facteur (token, app, hardware key) en plus du mot de passe",D,"Le MFA est fortement recommandé pour tous les utilisateurs IAM, obligatoire pour le compte root. Réduit drastiquement les risques de compromission.",AWS IAM
D5-030,5,medium,"Pour un accès cross-account sécurisé (entre comptes AWS) :","Partager les credentials root","Désactiver IAM","Utiliser des IAM Roles avec sts:AssumeRole et des conditions appropriées, plus des SCP au niveau Organizations","Stocker les credentials en clair",C,"Les rôles cross-account sont l'approche recommandée : pas de credentials longue durée, audit via CloudTrail.",AWS IAM
D5-031,5,medium,"Bedrock peut être configuré pour journaliser invocations dans :","Aucun stockage","Uniquement DynamoDB","Amazon S3 et/ou Amazon CloudWatch Logs (avec contrôle des données collectées : prompt, completion, embeddings, images)","Uniquement EBS",C,"Le model invocation logging peut être activé vers S3 (pour stockage long terme) et/ou CloudWatch Logs (pour analyse temps réel).",Amazon Bedrock
D5-032,5,medium,"Les AI service opt-out policies (à travers AWS Organizations) permettent :","D'augmenter le coût","De désactiver IAM","De compresser","De choisir, au niveau organisation, si les données peuvent être utilisées par AWS pour améliorer/développer ses services IA",D,"Les politiques AI Opt-out permettent à une organisation de refuser globalement l'usage de ses données pour le développement des services IA AWS.",AWS Organizations
D5-033,5,medium,"Pour protéger une application gen AI exposée sur Internet contre attaques DDoS/applicatives :","Aucune protection","Augmenter la temperature","Désactiver les logs","AWS Shield (DDoS), AWS WAF (Web ACL, rate limiting, règles managées), CloudFront",D,"Couche edge classique : WAF filtre les requêtes ; Shield Advanced protège des DDoS ; CloudFront distribue et masque l'origine.",AWS WAF
D5-034,5,medium,"AWS Well-Architected Framework comporte 6 piliers, dont :","Opérations, Sécurité, Fiabilité, Efficience des performances, Optimisation des coûts, Durabilité","Aucun pilier","Uniquement la sécurité","Uniquement le coût",A,"Les 6 piliers : Operational Excellence, Security, Reliability, Performance Efficiency, Cost Optimization, Sustainability. Lens spécifiques (ML, Gen AI, etc.).",AWS Well-Architected
D5-035,5,medium,"Pour la traçabilité des datasets utilisés pour entraîner ou fine-tuner un modèle (data lineage) :","SageMaker Lineage Tracking (couplé à Pipelines et Model Registry) permet de suivre origine, transformations et usage des datasets/modèles","Augmenter la temperature","Désactiver IAM","Compresser",A,"Le lineage est exigé par plusieurs réglementations (AI Act, RGPD article 30). SageMaker Lineage Tracking automatise cette traçabilité.",Amazon SageMaker
D5-036,5,medium,"Concernant le chiffrement au repos d'objets dans S3 utilisés pour entraîner un modèle :","S3 supporte SSE-S3, SSE-KMS (clés gérées par client), SSE-C, et le chiffrement client-side ; activer par défaut le chiffrement et utiliser KMS pour les données sensibles","Aucun chiffrement possible","Uniquement clear text","Désactiver IAM",A,"S3 propose plusieurs options de chiffrement. SSE-KMS avec CMK est recommandé pour les données sensibles (rotation, audit).",Amazon S3
D5-037,5,easy,"Pour qu'un employé n'ait accès qu'aux modèles Bedrock approuvés par l'entreprise :","Aucune restriction possible","Désactiver Bedrock","Politique IAM avec liste des modelArn autorisés (resource scoping) plus conditions (ex. tags, source VPC)","Donner les droits admin à tous",C,"IAM permet un scoping fin par modèle (modelArn), région, conditions (tags, IP source, VPC endpoint).",AWS IAM
D5-038,5,medium,"AWS Trusted Advisor :","Compresse","Désactive IAM","Augmente la temperature","Analyse les comptes AWS et fournit des recommandations dans 5 domaines : optimisation des coûts, performance, sécurité, fault tolerance, service limits",D,"Trusted Advisor est un outil de bonnes pratiques. Niveau de détail élargi avec Business et Enterprise Support.",AWS Trusted Advisor
D5-039,5,medium,"AWS IAM Identity Center (anciennement AWS SSO) :","Compresse les images","Augmente le coût","Centralise la gestion des identités et des accès multi-comptes via fédération (Active Directory, Okta, etc.) et permission sets","Désactive KMS",C,"IAM Identity Center facilite la gestion des accès sur une organisation multi-comptes, intégré aux fournisseurs d'identité externes.",AWS IAM Identity Center
D5-040,5,medium,"Pour ne pas exposer un endpoint SageMaker sur l'Internet public :","Le rendre public obligatoirement","Le déployer dans un VPC privé et n'autoriser l'accès qu'à des subnets internes, ou utiliser un VPC interface endpoint pour SageMaker Runtime","Désactiver tout","Désactiver IAM",B,"SageMaker endpoints peuvent être déployés dans un VPC privé. Les invocations passent alors par interface endpoint (PrivateLink).",Amazon SageMaker
D5-041,5,medium,"La rotation automatique des clés KMS :","Aucune rotation possible","KMS supporte la rotation automatique annuelle des clés AWS-managed et CMK symétriques (sans réchiffrement des données déjà chiffrées, les anciennes versions de clé restent accessibles)","Rotation toutes les minutes","Rotation manuelle uniquement",B,"La rotation annuelle est gérée par KMS. Les CMK doivent l'activer explicitement.",AWS KMS
D5-042,5,medium,"Pour respecter le RGPD (résidence des données dans l'UE) en utilisant Bedrock :","Choisir une région AWS dans l'UE supportant les modèles souhaités, configurer les contrôles d'accès, contractualiser via DPA (disponible dans AWS Artifact)","Aucune précaution","Désactiver KMS","Désactiver Bedrock",A,"Plusieurs régions UE supportent Bedrock. Le DPA AWS et les configurations techniques alignent l'usage avec le RGPD.",Amazon Bedrock
D5-043,5,medium,"Les CloudTrail data events pour Bedrock :","Désactivés par défaut, ils peuvent être activés pour journaliser les appels au niveau données (InvokeModel, etc.) avec coût supplémentaire","Toujours activés","Impossibles","Gratuits et automatiques",A,"Les management events sont activés par défaut. Les data events (volume potentiellement énorme) nécessitent une activation explicite et facturée.",AWS CloudTrail
D5-044,5,medium,"AWS Backup peut sauvegarder :","Uniquement EC2","Uniquement S3","De nombreux services AWS (EC2, EBS, RDS, DynamoDB, EFS, FSx, Storage Gateway, etc.) avec politiques centralisées et compliance reporting","Uniquement Bedrock",C,"AWS Backup centralise la stratégie de backup multi-services avec des plans cohérents et un reporting de conformité.",AWS Backup
D5-045,5,medium,"Un security best practice pour les credentials AWS :","Les hardcoder dans le code","Ne JAMAIS utiliser le compte root pour les opérations quotidiennes, créer des utilisateurs/rôles IAM avec least privilege, activer MFA, faire tourner les clés régulièrement","Les partager par email","Les écrire dans CloudWatch Logs",B,"Best practices fondamentales : root réservé aux tâches d'urgence, MFA partout, rotation, audit, secrets dans Secrets Manager.",AWS IAM
D5-046,5,medium,"L'AI Act européen (Règlement IA de l'UE) :","N'existe pas","Augmente la temperature","Définit des obligations selon le niveau de risque des systèmes IA (interdit, haut risque, risque limité, risque minimal) avec des exigences renforcées (documentation, transparence, supervision humaine, qualité des données)","Désactive les FMs",C,"L'AI Act (2024) est le premier cadre réglementaire complet de l'IA. AWS publie des guidances pour aider à la conformité.",AI Act EU
D5-047,5,medium,"Pour détecter automatiquement un compromis de credentials AWS (accès depuis un pays inhabituel, escalade de privilèges, etc.) :","Aucune détection possible","Désactiver CloudTrail","Augmenter la temperature","Amazon GuardDuty (avec son module IAM Anomaly Detection notamment) analyse les CloudTrail events et signale les anomalies",D,"GuardDuty détecte de nombreux patterns suspects sur IAM (impossible travel, unusual API calls, escalade).",Amazon GuardDuty
D5-048,5,medium,"Pour appliquer des règles de cycle de vie sur les buckets S3 utilisés pour les données ML (archive après 30 jours, suppression après 7 ans) :","Configurer S3 Lifecycle Policies (transitions vers Standard-IA, Glacier, Deep Archive, ou expiration)","Aucune politique possible","Manuel uniquement","Désactiver S3",A,"Les Lifecycle Policies optimisent le coût et appliquent les politiques de rétention exigées par certaines réglementations (RGPD, sectorielles).",Amazon S3
D5-049,5,medium,"Lors de la migration d'un modèle de SageMaker (custom) vers une production multi-régions, une bonne pratique de gouvernance :","Aucune approbation","Le pousser sans tests","Désactiver le monitoring","Utiliser SageMaker Model Registry pour gérer les versions, exiger des approbations explicites pour les déploiements production, automatiser via Pipelines, monitorer avec Model Monitor",D,"Model Registry plus Pipelines plus Model Monitor sont le triptyque MLOps de SageMaker pour une gouvernance solide.",Amazon SageMaker Model Registry
D5-050,5,medium,"Pour un cas d'usage gen AI traitant des données sensibles, l'architecture de sécurité type comprend :","Aucune mesure","Compresser et oublier","Désactiver tout","IAM least privilege plus VPC private avec PrivateLink plus KMS (CMK) plus Bedrock Guardrails plus CloudTrail data events plus invocation logging plus Macie sur les datasets plus Audit Manager pour la conformité",D,"Architecture multi-couches : accès, réseau, chiffrement, contenu, audit, gouvernance. C'est la combinaison qui crée la sécurité.",AWS Well-Architected
